x                      y                         z
-1325465605.8722577    327338814.6812577    998097236.7200854
27629586433.081738    -38268158477.27316    602929554.0986375
-1975635.6210092194    -243646043.55504617    245098396.03617424
1577515747788.3489    303007519732204.1    -905278293642787.2
-29363307.99697138    12529773.63009253    16637826.514367707
-6.674173391831665e+20    2.2135315800524374e+20    -4.458587839199775e+20
378208034792.4418    -43729360497.63717    48356230018.08203
-510057084767195.4    268511665791084.47    -1.4127210225814194e+16
-3.3822093976864877e+17    133183643633302.06    940699056767560.8
405032520396.8646    69501252161807.445    -69747253344846.77
-151578602367712.6    -150586324532623.1    150393185351338.1
9.840510900717064e+27    7.381544036651343e+27    -7.387498538045826e+27
36242147266109.36    26265862949561.906    -12007497155458.004
-8.896491367252402e+16    1.3024123478416914e+17    -4.0980160823495896e+16
-2.493995402605189    -2.677437619553215    0.6173214885169145
4.731884372950197e+18    1.3452776698944157e+21    1.3512000035007913e+21
-2463101431.786038    1083359977.506991    3217857.2102013775
-143822364874.9622    -3565973848401.782    593925210.1175492
-174751613.72600326    -426979.6619632064    54064.69280893255
2.848051686892806e+18    2.8499833632700483e+18    -4525326257576930.0
7.830935700643635e+18    1.5575664165513875e+19    2.2820732364591044e+16
-437644.62437300227    436592.85884109815    -1202.826654421658
-30131.89112439933    15388.886491396726    60.74381942245627
17999045387215.01    8753203914253310.0    -624459435529277.6
-922975428858893.0    1837601758931715.8    -3149700936688.2505
-1.0923829108284067e+17    1.0940140666697931e+17    56858299921643.03
-234.25320392728017    96309.96786804055    -364.03988601868616
-5779053979984168.0    15640738437885.172    -13241304429303.725
-2.2194290883453283    0.2469092541297274    1.5261830747569338
667537027497087.8    660988445883503.0    368116973196.5366
1460841747906.5554    2304171583677.728    2786075105.935808
-0.034463214392657954    -0.04116767357108184    0.7751277475318119
605175079.1557475    188347495.488563    -62252179.54056477
2380265967815397.5    1120681951379505.2    -1186557911488921.0
5.1915967861522616e+16    -1.7771292534076787e+17    566858337276596.2
3586363987771.8076    -1785432408841.9067    -1778562159480.5513
-709758817299501.4    1425179394287774.0    -713803284279127.9
34259024681557.227    13066331856895.936    -4436238040831.064
-8.945188101560607    -0.588612213285026    -0.8823300414522145
-3709928626484.909    10068924021.155775    -1392017805309.9927
-2.4332726419546407    1.7073916968503993    1.6910855928223465
5725059153.36922    5235929273.915483    -15508255.960145976
4.377638946154707e+22    -1.5166035760866506e+20    -5.582056741498143e+19
1811766.7504609623    430951446.48862624    -426642125.033196
384961763681.42957    -1990064992.7805147    2225851633.0361705
0.01802974883325137    0.7963512236942842    1.5925740286768344
0.89856926595156    0.860734794113235    0.803710288454114
3940381479.945229    28531860.280677065    -3948814414.514344
0.8859732893307839    1.6397590230257335    1.7234106845103807
1.705922088958261    0.8620284216199472    1.625659590204838
