This is the file with the neighbour_list:
____________________________________________
Number of atoms: 108
Cutoff distance: 2.7
____________________________________________
Neighbour List of atom: 0

Position of atom 0: -2.519394287073761, -2.519394287073761, -2.519394287073761
Number of neighbours: 107

Index         Distances(Units L=1)
98           1.1876538565816697
99           2.057076821404572
100           2.9091459396736825
101           3.1422367481418685
102           2.057076821404572
103           3.1422367481418685
104           2.9091459396736825
105           2.057076821404572
106           2.057076821404572
107           2.057076821404572
Neighbour List of atom: 1

Position of atom 1: -1.6795961913825073, -1.6795961913825073, -2.519394287073761
Number of neighbours: 106

Index         Distances(Units L=1)
2           1.1876538565816692
3           1.1876538565816692
4           1.1876538565816692
5           1.6795961913825073
6           1.1876538565816692
7           2.057076821404572
8           2.655674757056398
9           1.6795961913825077
10           2.655674757056398
11           2.057076821404572
12           1.1876538565816692
13           1.6795961913825073
14           2.057076821404572
15           1.1876538565816692
16           1.1876538565816692
17           2.3753077131633384
18           2.057076821404572
19           2.057076821404572
20           2.655674757056398
21           2.3753077131633384
22           3.142236748141868
23           2.057076821404572
24           2.655674757056398
25           1.6795961913825077
26           2.057076821404572
27           2.655674757056398
28           2.655674757056398
29           2.3753077131633384
30           2.057076821404572
31           3.142236748141868
32           3.5629615697450068
33           2.375307713163339
34           3.1422367481418685
35           3.1422367481418685
36           2.057076821404572
37           1.6795961913825073
38           2.6556747570563983
39           2.6556747570563983
40           2.057076821404572
41           2.3753077131633384
42           2.6556747570563983
43           3.1422367481418685
44           3.142236748141868
45           2.3753077131633384
46           3.562961569745007
47           3.1422367481418685
48           2.057076821404572
49           2.3753077131633384
50           3.1422367481418685
51           2.6556747570563983
52           2.057076821404572
53           2.9091459396736825
54           3.1422367481418685
55           3.1422367481418685
56           3.142236748141868
57           2.9091459396736825
58           3.9390022230999606
59           3.1422367481418685
60           3.142236748141868
61           2.3753077131633384
62           3.1422367481418685
63           3.562961569745007
64           3.142236748141868
65           2.9091459396736825
66           3.1422367481418685
67           3.9390022230999606
68           3.93900222309996
69           2.909145939673683
70           3.9390022230999606
71           3.9390022230999606
72           2.057076821404572
73           1.6795961913825073
74           1.1876538565816694
75           1.1876538565816694
76           2.057076821404572
77           2.3753077131633384
78           1.1876538565816694
79           2.057076821404572
80           3.142236748141868
81           2.3753077131633384
82           2.655674757056398
83           2.0570768214045723
84           2.057076821404572
85           2.3753077131633384
86           2.057076821404572
87           1.1876538565816694
88           2.057076821404572
89           2.9091459396736825
90           2.057076821404572
91           2.057076821404572
92           3.142236748141868
93           2.9091459396736825
94           3.1422367481418685
95           2.0570768214045723
96           3.142236748141868
97           2.3753077131633384
98           2.0570768214045723
99           2.655674757056398
100           3.142236748141868
101           2.9091459396736825
102           2.0570768214045723
103           3.1422367481418685
104           3.93900222309996
105           2.909145939673683
106           3.1422367481418685
107           3.1422367481418685
Neighbour List of atom: 2

Position of atom 2: -2.519394287073761, -1.6795961913825073, -1.6795961913825073
Number of neighbours: 105
